Qty;Value;Device;Package;Parts;Description;BLOCK;LAYER;MAN1;MAN1PN;MAN2;MAN2PN;NOTES;SENTPN;VALUE2
1;LED_RGB-PLCC4;LED_RGB-PLCC4;PLCC4;LED;RGB LED;;;Cree, Inc.;CLMVB-FKA-CFHEHLCBB7a363;;;;LEDSMD-PLCC4-RGB;
1;560R;RES_CERAMICA_SMD0603R;R0603R;R1;Resistencia ceramica SMD;;;Yageo;RC0603JR-07560RL;;;;RSMD-0603-560R;
1;390R;RES_CERAMICA_SMD0603R;R0603R;R2;Resistencia ceramica SMD;;;Yageo;RC0603FR-10390RL;;;;RSMD-0603-390R;
1;390R;RES_CERAMICA_SMD0603R;R0603R;R3;Resistencia ceramica SMD;;;Yageo;RC0603FR-07390RL;;;;RSMD-0603-390R;
